Predio;I.D. Faena;N° Orden;Cultivo;Variedad;Fecha;E. Fenologico;Codigo Producto;Nombre Producto;Ing Activo;N° Autorización SAG;Tratamiento;Cantidad;U. Med.;Moja. Lts x Ha;Tipo Dosis;Dosis;Ha. Aplica;T.Cantidad Ha. Aplica;R.Aplica Calculado;Real Aplicado;Cobertura;N° Aplica Periodo.;Nº aplica etiqueta;Clasifica;Cod Cuartel;Cuartel / Potrero;Total Ha.;Fecha Inicio Aplica;Hr. Inicio;Fecha Term. Aplica;Hr. Término;Hr. Reingre;Carencia;Dias Carencias PPPL;Plazo Seguridad;Concentración;Adjunto Productos;Estado;Faena;Labor;Clima;Viento;Temp.;Responsable (Aplicaciones);Dosificador (Aplicaciones);Verificador Técnico (Aplicaciones);Aplicador;Aplicador 2;Observaciones;Usuario Login;Total Producto;Maquinarias;Total Maqui;Maq Cod/GPS;Tot.Maq c/GPS;Tot Orden Aplica;Cantidad Periodo;tipo;has totales;n;p;k;usd
Camino Truncado, Puente Alto y La Chimbera;55.741;;Uva;Flame;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;185,24;Litros;0;Hectareas;42,1;4,4;185,23;0;0;;2;0;La Chimbera;16;16;4,4;3/3/2025;23:00:00;4/3/2025;18:00:00;0;0;0;5/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 2,20;;0;;0;2;694,716;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.742;;Uva;Flame;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;92,62;Litros;0;Hectareas;42,1;2,2;92,61;0;0;;2;0;La Chimbera;21;21;2,2;3/3/2025;23:00:00;4/3/2025;18:00:00;0;0;0;5/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 1,10;;0;;0;2;347,358;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.743;;Uva;Arizul;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;122,1;Litros;0;Hectareas;42,1;2,9;122,08;0;0;;2;0;La Chimbera;26;26;2,9;3/3/2025;23:00:00;4/3/2025;18:00:00;0;0;0;5/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 1,40;;0;;0;2;457,891;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.744;;Uva;Flame;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;174,24;Litros;0;Hectareas;39,6;4,4;174,23;0;0;;2;0;La Chimbera;18;18;4,4;4/3/2025;23:00:00;5/3/2025;18:00:00;0;0;0;6/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 2,00;;0;;0;2;653,444;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.745;;Uva;Arizul;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;110,88;Litros;0;Hectareas;39,6;2,8;110,87;0;0;;2;0;La Chimbera;24;24;2,8;4/3/2025;23:00:00;5/3/2025;18:00:00;0;0;0;6/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 1,30;;0;;0;2;415,828;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.746;;Uva;Arizul;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;114,84;Litros;0;Hectareas;39,6;2,9;114,83;0;0;;2;0;La Chimbera;27;27;2,9;4/3/2025;23:00:00;5/3/2025;18:00:00;0;0;0;6/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 1,30;;0;;0;2;430,679;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;54.489;54489;Uva;Arizul;15/2/2025;;p-83;BELLIS;;;;1,856;Kilos;0;Hectareas;0,8;2,32;1,85;0;0;Total;1;0;Puente Alto;5;5;2,32;16/2/2025;06:00:00;16/2/2025;13:30:00;0;0;0;17/2/2025;;;Confirmada;APLICACIONES;FITOSANITARIO;;;0;;;;;;;santiago;$ 0,00;;0;;0;1;1,856;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;54.489;54489;Uva;Arizul;15/2/2025;;p-109;ACIDO-FOSFORICO;;;;0,696;Litros;0;Hectareas;0,3;2,32;0,69;0;0;Total;2;0;Puente Alto;5;5;2,32;16/2/2025;06:00:00;16/2/2025;13:30:00;0;0;0;17/2/2025;;;Confirmada;APLICACIONES;FITOSANITARIO;;;0;;;;;;;santiago;$ 72.465,30;;0;;0;2;1,392;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;54.489;54489;Uva;Arizul;15/2/2025;;p-113;ADHERENTE;;;;0,696;Litros;0;Hectareas;0,3;2,32;0,69;0;0;Total;2;0;Puente Alto;5;5;2,32;16/2/2025;06:00:00;16/2/2025;13:30:00;0;0;0;17/2/2025;;;Confirmada;APLICACIONES;FITOSANITARIO;;;0;;;;;;;santiago;$ 60.523,10;;0;;0;2;1,392;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;54.490;54490;Uva;Arizul;15/2/2025;;p-83;BELLIS;;;;2,8;Kilos;0;Hectareas;0,8;3,5;2,8;0;0;Total;1;0;Puente Alto;6;6;3,5;16/2/2025;14:00:00;16/2/2025;21:00:00;0;0;0;17/2/2025;;;Confirmada;APLICACIONES;FITOSANITARIO;;;0;;;;;;;santiago;$ 0,00;;0;;0;1;2,8;Real;;;;;
